reference	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12	S13	S14	S15	S16	S17	S18	S19	S20	S21	S22	S23	S24	S25	S26	S27	S28	S29	S30	S31	S32	S33	S34	S35	S36	S37	S38	S39	S40	S41	S42	S43	S44	S45	S46	S47	S48	S49	S50	S51	S52	S53	S54	S55	S56	S57	S58	S59	S60	S61	S62	S63	S64	S65	S66	S67	S68	S69	S70	S71	S72	S73	S74	S75	S76	S77	S78	S79	S80	S81	S82	S83	S84	S85	S86	S87	S88	S89	S90	S91	S92	S93	S94	S95	S96	S97	S98	S99	S100	S101	S102	S103	S104	S105	S106	S107	S108	S109	S110	S111	S112	S113	S114	S115	S116	S117	S118	S119	S120	S121	S122	S123	S124	S125	S126	S127	S128	S129	S130	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S146	S147	S148	S149	S150	S151	S152	S153	S154	S155																																																																																																																																																												
time 	area																																																																																																																																																																																																																																																																																																																						
0	0	31.482	161.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.915	26.166	0	0	0	0	28.714	18.472	29.685	9.886	0	0	36.506	0.76	0	0	37.937	0.961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.185	15.152	0	0	0	0	30.126	54.275	0	0	0	0	0	0	0	0	0	0	0	0	34.074	6.516	0	0	0	0	0	0	29.689	12.52	0	0	35.329	8.659	0	0	0	0	0	0	29.167	6.137	27.498	6.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.819	3.528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.967	1.911	0	0	0	0	32.159	74.448	0	0	0	0	0	0	35.871	6.478	41.163	2.533	0	0	0	0	0	0	0	0	0	0	31.299	14.13	0	0	34.357	20.725	0	0	27.629	1.116	32.458	51.234	31.805	14.165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.699	9.838	32.957	6.223	30.16	9.736	0	0	0	0	0	0	30.494	4.53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.722	18.48	0	0	0	0	0	0	31.282	14.911	27.421	8.375	28.758	22.841	0	0	0	0	0	0	37.287	0.339
0	0	31.572	48.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.061	10.913	0	0	0	0	28.86	5.61	29.765	9.504	0	0	36.6	0.48	0	0	38.553	0.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.384	56.072	0	0	0	0	30.235	30.406	0	0	0	0	0	0	0	0	0	0	0	0	34.18	18.112	0	0	0	0	0	0	29.769	12.172	0	0	35.526	31.175	0	0	0	0	0	0	29.255	88.499	27.548	6.958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.32	3.573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.204	8.88	0	0	0	0	32.258	135.054	0	0	0	0	0	0	35.993	0.412	41.653	1.306	0	0	0	0	0	0	0	0	0	0	31.407	93.038	0	0	34.648	10.751	0	0	27.692	5.228	32.579	13.078	31.925	27.806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.832	39.875	33.069	141.484	30.216	20.613	0	0	0	0	0	0	30.619	33.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.833	21.908	0	0	0	0	0	0	31.39	90.483	27.492	9.599	28.841	24.214	0	0	0	0	0	0	37.413	0.697
0	0	31.684	38.174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.163	20.435	0	0	0	0	28.992	6.302	29.846	3.385	0	0	36.703	0.302	0	0	39.013	2.749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.667	29.007	0	0	0	0	30.397	69.717	0	0	0	0	0	0	0	0	0	0	0	0	34.371	27.513	0	0	0	0	0	0	29.944	87.188	0	0	35.672	28.212	0	0	0	0	0	0	29.39	7.102	27.622	4.387	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47.595	2.175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.571	0.801	0	0	0	0	32.456	88.261	0	0	0	0	0	0	36.497	0.529	41.802	5.301	0	0	0	0	0	0	0	0	0	0	31.462	96.51	0	0	34.735	6.655	0	0	27.832	95.332	32.665	6.227	32.037	25.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.961	15.557	33.223	78.906	30.374	55.416	0	0	0	0	0	0	30.722	13.431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30.978	14.15	0	0	0	0	0	0	31.444	87.7	27.538	13.199	28.974	26.198	0	0	0	0	0	0	37.632	3.676
0	0	31.82	52.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.359	55.611	0	0	0	0	29.073	4.222	29.939	73.15	0	0	36.792	0.73	0	0	39.942	1.033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.758	17.221	0	0	0	0	30.52	22.917	0	0	0	0	0	0	0	0	0	0	0	0	34.533	3.59	0	0	0	0	0	0	30.135	18.57	0	0	35.883	14.182	0	0	0	0	0	0	29.467	8.694	27.684	10.865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48.967	1.032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.728	2.326	0	0	0	0	32.572	26.148	0	0	0	0	0	0	37.188	1.858	43.086	0.479	0	0	0	0	0	0	0	0	0	0	31.667	22.226	0	0	34.842	3.684	0	0	27.908	65.476	32.719	8.915	32.168	62.319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.078	266.386	33.395	5.8	30.496	12.165	0	0	0	0	0	0	30.863	11.276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.085	24.66	0	0	0	0	0	0	31.646	24.029	27.614	7.353	29.059	21.23	0	0	0	0	0	0	38.118	0.553
0	0	31.946	49.833	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.645	24.988	0	0	0	0	29.162	2.94	30.123	15.01	0	0	36.992	1.72	0	0	40.177	0.404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.865	10.716	0	0	0	0	30.643	193.668	0	0	0	0	0	0	0	0	0	0	0	0	34.657	15.64	0	0	0	0	0	0	30.237	18.299	0	0	35.967	11.138	0	0	0	0	0	0	29.556	12.899	27.826	86.679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37.945	1.511	0	0	0	0	32.657	14.748	0	0	0	0	0	0	37.553	0.238	43.265	0.544	0	0	0	0	0	0	0	0	0	0	31.753	10.73	0	0	35.013	3.262	0	0	28.107	568.534	32.85	26.068	32.266	114.921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.224	198.502	33.529	15.509	30.618	124.043	0	0	0	0	0	0	30.98	4.593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.182	17.093	0	0	0	0	0	0	31.733	12.915	27.676	22.457	29.158	17.271	0	0	0	0	0	0	38.253	0.437
0	0	32.057	46.235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.735	15.454	0	0	0	0	29.256	43.218	30.233	20.329	0	0	37.197	8.599	0	0	40.787	1.166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.986	5.285	0	0	0	0	30.742	51.207	0	0	0	0	0	0	0	0	0	0	0	0	34.747	13.245	0	0	0	0	0	0	30.399	29.793	0	0	36.283	10.647	0	0	0	0	0	0	29.68	18.349	27.903	33.577	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.215	1.508	0	0	0	0	32.714	16.609	0	0	0	0	0	0	37.719	0.607	43.745	1.47	0	0	0	0	0	0	0	0	0	0	31.806	12.892	0	0	35.073	2.043	0	0	28.284	17.728	32.98	10.535	32.464	70.556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.396	14.708	33.616	8.251	30.719	25.808	0	0	0	0	0	0	31.039	11.142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.282	12.418	0	0	0	0	0	0	31.787	12.661	27.817	122.483	29.247	114.29	0	0	0	0	0	0	38.393	1.055
0	0	32.186	61.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.847	9.319	0	0	0	0	29.392	3.395	30.395	41.331	0	0	37.588	0.798	0	0	41.175	2.169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.099	10.442	0	0	0	0	30.877	40.8	0	0	0	0	0	0	0	0	0	0	0	0	34.853	6.107	0	0	0	0	0	0	30.453	11.809	0	0	36.38	3.101	0	0	0	0	0	0	29.761	17.125	28.087	231.088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.433	0.387	0	0	0	0	32.843	51.086	0	0	0	0	0	0	38.552	0.421	46.777	0.918	0	0	0	0	0	0	0	0	0	0	31.925	24.63	0	0	35.146	2.21	0	0	28.37	21.597	33.092	205.401	32.584	21.754	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.529	28.349	33.732	15.13	30.826	29.371	0	0	0	0	0	0	31.177	7.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.39	91.336	0	0	0	0	0	0	31.904	26.534	27.902	53.828	29.358	17.434	0	0	0	0	0	0	38.596	1.265
0	0	32.285	128.114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.967	4.216	0	0	0	0	29.473	4.824	30.519	9.299	0	0	37.726	5.054	0	0	41.64	1.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.176	7.716	0	0	0	0	31.002	25.721	0	0	0	0	0	0	0	0	0	0	0	0	35.007	5.776	0	0	0	0	0	0	30.519	10.561	0	0	36.508	6.669	0	0	0	0	0	0	29.935	135.768	28.277	9.351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38.542	0.667	0	0	0	0	32.975	22.477	0	0	0	0	0	0	39.007	0.666	47.305	3.605	0	0	0	0	0	0	0	0	0	0	32.036	22.834	0	0	35.251	3.203	0	0	28.472	11.988	33.242	151.898	32.668	10.177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.613	15.534	33.899	18.438	30.977	19.463	0	0	0	0	0	0	31.281	5.112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.443	77.809	0	0	0	0	0	0	32.017	24.435	28.087	419.963	29.456	17.291	0	0	0	0	0	0	38.747	0.298
0	0	32.485	112.073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.08	9.503	0	0	0	0	29.562	6.273	30.639	99.951	0	0	37.939	1.12	0	0	41.803	4.388	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.284	8.957	0	0	0	0	31.11	39.329	0	0	0	0	0	0	0	0	0	0	0	0	35.087	3.828	0	0	0	0	0	0	30.643	105.848	0	0	36.596	4.583	0	0	0	0	0	0	30.117	32.62	28.365	16.508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.019	4.389	0	0	0	0	33.089	322.596	0	0	0	0	0	0	39.934	0.561	47.573	1.812	0	0	0	0	0	0	0	0	0	0	32.169	65.863	0	0	35.333	2.389	0	0	28.557	106.943	33.413	1.559	32.723	12.939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.735	30.326	34.042	5.527	31.082	33.62	0	0	0	0	0	0	31.388	30.314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.645	18.055	0	0	0	0	0	0	32.147	48.373	28.269	15.883	29.547	21.703	0	0	0	0	0	0	38.992	0.651
0	0	32.61	36.724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.148	7.653	0	0	0	0	29.682	8.618	30.74	23.378	0	0	38.249	1.113	0	0	43.084	0.582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.351	9.734	0	0	0	0	31.205	28.91	0	0	0	0	0	0	0	0	0	0	0	0	35.162	5.694	0	0	0	0	0	0	30.742	22.218	0	0	36.704	3.928	0	0	0	0	0	0	30.227	23.267	28.551	99.937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39.932	0.948	0	0	0	0	33.238	253.173	0	0	0	0	0	0	40.175	0.876	48.021	7.627	0	0	0	0	0	0	0	0	0	0	32.264	97.646	0	0	35.525	47.17	0	0	28.718	68.022	33.549	20.84	32.853	41.056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.822	8.566	34.142	15.054	31.179	21.674	0	0	0	0	0	0	31.444	39.427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.733	8.922	0	0	0	0	0	0	32.244	94.674	28.352	21.964	29.67	27.309	0	0	0	0	0	0	39.416	0.562
0	0	32.749	44.945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.251	6.983	0	0	0	0	29.761	12.483	30.85	20.502	0	0	38.43	0.378	0	0	43.263	0.771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.55	40.396	0	0	0	0	31.304	23.152	0	0	0	0	0	0	0	0	0	0	0	0	35.274	6.005	0	0	0	0	0	0	30.852	23.222	0	0	36.808	6.167	0	0	0	0	0	0	30.387	64.715	28.711	35.194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.201	1.679	0	0	0	0	33.406	1.88	0	0	0	0	0	0	40.307	0.789	49.199	1.057	0	0	0	0	0	0	0	0	0	0	32.464	70.007	0	0	35.669	10.115	0	0	28.859	12.847	33.633	11.329	32.979	17.949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33.899	31.615	34.333	25.249	31.28	17.928	0	0	0	0	0	0	31.65	5.645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.785	10.956	0	0	0	0	0	0	32.442	64.687	28.455	11.685	29.752	27.873	0	0	0	0	0	0	40.693	3.091
0	0	32.875	42.602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.325	7.877	0	0	0	0	29.935	58.44	30.994	13.611	0	0	38.538	0.478	0	0	43.741	0.741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.696	36.918	0	0	0	0	31.416	163.956	0	0	0	0	0	0	0	0	0	0	0	0	35.348	6.443	0	0	0	0	0	0	31.004	17.274	0	0	37.006	6.971	0	0	0	0	0	0	30.509	15.042	28.855	10.382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40.773	0.925	0	0	0	0	33.548	41.719	0	0	0	0	0	0	40.902	0.763	49.742	0.569	0	0	0	0	0	0	0	0	0	0	32.584	16.67	0	0	35.879	7.769	0	0	28.995	33.507	33.754	23.391	33.095	263.218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.043	14.767	34.493	2.523	31.387	109.06	0	0	0	0	0	0	31.728	13.864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31.906	21.969	0	0	0	0	0	0	32.561	18.127	28.543	146.36	29.833	10.558	0	0	0	0	0	0	41.017	1.933
0	0	33.002	41.756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.527	103.837	0	0	0	0	30.123	13.707	31.106	20.534	0	0	38.749	0.757	0	0	46.795	0.565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.906	13.559	0	0	0	0	31.473	226.239	0	0	0	0	0	0	0	0	0	0	0	0	35.547	87.899	0	0	0	0	0	0	31.11	22.476	0	0	37.21	21.512	0	0	0	0	0	0	30.634	154.291	28.99	12.662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.171	3.418	0	0	0	0	33.628	21.777	0	0	0	0	0	0	41.154	0.417	52.86	2.933	0	0	0	0	0	0	0	0	0	0	32.666	8.061	0	0	36.079	1.233	0	0	29.076	17.401	33.833	6.472	33.246	210.338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.143	20.857	34.627	14.043	31.442	126.201	0	0	0	0	0	0	31.906	7.21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.018	19.428	0	0	0	0	0	0	32.649	9.791	28.702	69.938	29.926	159.129	0	0	0	0	0	0	41.293	0.516
0	0	33.124	355.943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.672	35.664	0	0	0	0	30.229	16.719	31.202	13.802	0	0	39.023	4.475	0	0	47.306	4.693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.994	7.48	0	0	0	0	31.674	37.667	0	0	0	0	0	0	0	0	0	0	0	0	35.687	16.698	0	0	0	0	0	0	31.208	16.278	0	0	37.453	2.914	0	0	0	0	0	0	30.732	28.294	29.071	9.093	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.651	2.201	0	0	0	0	33.749	43.858	0	0	0	0	0	0	41.64	0.861	53.294	1.114	0	0	0	0	0	0	0	0	0	0	32.721	11.104	0	0	36.275	1.93	0	0	29.172	15.741	33.918	21.285	33.414	2.101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.337	81.949	34.715	13.119	31.647	27.669	0	0	0	0	0	0	32.016	5.155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.149	44.375	0	0	0	0	0	0	32.702	10.343	28.844	22.157	30.112	49.208	0	0	0	0	0	0	41.493	1.446
0	0	33.271	244.685	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.881	9.682	0	0	0	0	30.391	34.581	31.302	12.6	0	0	39.927	0.815	0	0	47.6	3.31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.127	5.407	0	0	0	0	31.754	20.876	0	0	0	0	0	0	0	0	0	0	0	0	35.899	20.289	0	0	0	0	0	0	31.306	13.691	0	0	37.591	4.932	0	0	0	0	0	0	30.843	34.15	29.161	7.721	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41.813	6.852	0	0	0	0	33.837	13.566	0	0	0	0	0	0	41.807	2.829	0	0	0	0	0	0	0	0	0	0	0	0	32.852	33.007	0	0	36.512	1.999	0	0	29.262	111.929	34.062	10.934	33.555	32.873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.627	34.986	34.813	4.406	31.729	14.017	0	0	0	0	0	0	32.151	27.094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.245	90.431	0	0	0	0	0	0	32.831	36.08	28.979	24.972	30.167	16.428	0	0	0	0	0	0	41.657	10.082
0	0	33.446	24.9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.963	5.925	0	0	0	0	30.513	8.202	31.411	78.902	0	0	40.186	0.918	0	0	48.01	19.838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.302	10.937	0	0	0	0	31.818	20.268	0	0	0	0	0	0	0	0	0	0	0	0	36.113	3.44	0	0	0	0	0	0	31.417	85.853	0	0	37.729	6.234	0	0	0	0	0	0	30.989	23.571	29.256	106.699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.084	0.536	0	0	0	0	33.911	42.069	0	0	0	0	0	0	43.079	0.668	0	0	0	0	0	0	0	0	0	0	0	0	32.982	13.469	0	0	36.593	0.381	0	0	29.394	14.599	34.162	17.092	33.637	16.905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.716	24.909	34.988	3.87	31.785	16.648	0	0	0	0	0	0	32.242	27.78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.445	56.371	0	0	0	0	0	0	32.961	15.33	29.061	18.334	30.217	36.881	0	0	0	0	0	0	42.597	1.511
0	0	33.576	53.177	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.087	3.608	0	0	0	0	30.633	75.774	31.464	86.086	0	0	40.32	0.602	0	0	49.197	1.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.413	3.806	0	0	0	0	31.936	45.295	0	0	0	0	0	0	0	0	0	0	0	0	36.298	7.894	0	0	0	0	0	0	31.47	99.987	0	0	37.949	5.437	0	0	0	0	0	0	31.099	36.632	29.39	7.472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43.741	1.628	0	0	0	0	34.057	21.678	0	0	0	0	0	0	47.303	3.13	0	0	0	0	0	0	0	0	0	0	0	0	33.099	288.616	0	0	36.693	0.602	0	0	29.47	16.235	34.36	59.608	33.755	34.784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34.823	13.679	35.049	2.452	31.904	31.332	0	0	0	0	0	0	32.441	25.596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.563	16.011	0	0	0	0	0	0	33.075	234.098	29.157	15.567	30.379	85.277	0	0	0	0	0	0	43.091	1.879
0	0	33.698	34.538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.275	9.903	0	0	0	0	30.733	19.256	31.67	17.842	0	0	40.836	0.809	0	0	49.724	0.943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36.54	7.873	0	0	0	0	32.047	37.33	0	0	0	0	0	0	0	0	0	0	0	0	36.393	2.386	0	0	0	0	0	0	31.674	21.187	0	0	38.073	1.457	0	0	0	0	0	0	31.197	22.616	29.467	9.015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46.797	0.849	0	0	0	0	34.155	31.083	0	0	0	0	0	0	47.573	1.007	0	0	0	0	0	0	0	0	0	0	0	0	33.247	202.767	0	0	36.808	0.635	0	0	29.565	21.2	34.65	26.998	33.846	10.598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35.054	17.543	35.116	2.845	32.013	28.797	0	0	0	0	0	0	32.563	4.636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32.647	7.318	0	0	0	0	0	0	33.223	177.531	29.249	151.922	30.5	22.623	0	0	0	0	0	0	43.24	1.424
