reference	S1	S2	S3	S4					
time 	area								
0	0	29.071	24.382	0	0	0	0	0	0
0	0	29.18	30.271	0	0	0	0	0	0
0	0	29.27	83.832	0	0	0	0	0	0
0	0	29.383	26.859	0	0	0	0	0	0
0	0	29.478	21.114	0	0	0	0	0	0
0	0	29.576	32.213	0	0	0	0	0	0
0	0	29.697	26.01	0	0	0	0	0	0
0	0	29.765	50.145	0	0	0	0	0	0
0	0	29.95	115.753	0	0	0	0	0	0
0	0	30.136	76.902	0	0	0	0	0	0
0	0	30.297	44.478	0	0	0	0	0	0
0	0	30.409	71.066	0	0	0	0	0	0
0	0	30.531	22.565	0	0	0	0	0	0
0	0	30.651	138.615	0	0	0	0	0	0
0	0	30.755	43.823	0	0	0	0	0	0
0	0	30.889	46.021	0	0	0	0	0	0
0	0	30.987	38.743	0	0	0	0	0	0
0	0	31.117	42.31	0	0	0	0	0	0
0	0	31.214	35.749	0	0	0	0	0	0
0	0	31.321	30.421	0	0	0	0	0	0
0	0	31.424	118.242	0	0	0	0	0	0
0	0	31.482	161.721	0	0	0	0	0	0
0	0	31.572	48.051	0	0	0	0	0	0
0	0	31.684	38.174	0	0	0	0	0	0
0	0	31.82	52.227	0	0	0	0	0	0
0	0	31.946	49.833	0	0	0	0	0	0
0	0	32.057	46.235	0	0	0	0	0	0
0	0	32.186	61.791	0	0	0	0	0	0
0	0	32.285	128.114	0	0	0	0	0	0
0	0	32.485	112.073	0	0	0	0	0	0
0	0	32.61	36.724	0	0	0	0	0	0
0	0	32.749	44.945	0	0	0	0	0	0
0	0	32.875	42.602	0	0	0	0	0	0
0	0	33.002	41.756	0	0	0	0	0	0
0	0	33.124	355.943	0	0	0	0	0	0
0	0	33.271	244.685	0	0	0	0	0	0
0	0	33.446	24.9	0	0	0	0	0	0
0	0	33.576	53.177	0	0	0	0	0	0
0	0	33.698	34.538	0	0	0	0	0	0
0	0	33.78	47.839	0	0	0	0	0	0
0	0	33.951	76.298	0	0	0	0	0	0
0	0	34.093	26.252	0	0	0	0	0	0
0	0	34.195	47.444	0	0	0	0	0	0
0	0	34.39	106.572	0	0	0	0	0	0
0	0	34.682	67.459	0	0	0	0	0	0
0	0	34.77	45.517	0	0	0	0	0	0
0	0	34.884	29.813	0	0	0	0	0	0
0	0	35.013	28.121	0	0	0	0	0	0
0	0	35.116	18.86	0	0	0	0	0	0
0	0	35.179	18.573	0	0	0	0	0	0
0	0	35.363	55.537	0	0	0	0	0	0
0	0	35.57	231.865	0	0	0	0	0	0
0	0	35.706	65.087	0	0	0	0	0	0
0	0	35.917	61.869	0	0	0	0	0	0
0	0	36.1	23.3	0	0	0	0	0	0
0	0	36.311	42.274	0	0	0	0	0	0
0	0	36.45	16.094	0	0	0	0	0	0
0	0	36.503	22.634	0	0	0	0	0	0
0	0	36.634	19.993	0	0	0	0	0	0
0	0	36.741	10.456	0	0	0	0	0	0
0	0	36.834	34.913	0	0	0	0	0	0
0	0	37.018	25.05	0	0	0	0	0	0
0	0	37.25	69.313	0	0	0	0	0	0
0	0	37.452	24.212	0	0	0	0	0	0
0	0	37.624	21.338	0	0	0	0	0	0
0	0	37.749	35.267	0	0	0	0	0	0
0	0	38	22.544	0	0	0	0	0	0
0	0	38.077	13.641	0	0	0	0	0	0
0	0	38.317	36.008	0	0	0	0	0	0
0	0	38.489	18.131	0	0	0	0	0	0
0	0	38.612	23.524	0	0	0	0	0	0
0	0	38.798	17.759	0	0	0	0	0	0
0	0	38.867	16.433	0	0	0	0	0	0
0	0	39.073	39.812	0	0	0	0	0	0
0	0	39.243	12.319	0	0	0	0	0	0
0	0	39.351	12.136	0	0	0	0	0	0
0	0	39.557	23.431	0	0	0	0	0	0
0	0	39.721	21.131	0	0	0	0	0	0
0	0	39.853	5.106	0	0	0	0	0	0
0	0	40.017	26.44	0	0	0	0	0	0
0	0	40.25	15.822	0	0	0	0	0	0
0	0	40.362	17.593	0	0	0	0	0	0
0	0	40.569	16.382	0	0	0	0	0	0
0	0	40.756	13.569	0	0	0	0	0	0
0	0	40.93	13.578	0	0	0	0	0	0
0	0	41.246	43.528	0	0	0	0	0	0
0	0	41.547	9.662	0	0	0	0	0	0
0	0	41.708	9.827	0	0	0	0	0	0
0	0	41.878	25.962	0	0	0	0	0	0
0	0	42.193	11.262	0	0	0	0	0	0
0	0	42.4	25.848	0	0	0	0	0	0
0	0	42.676	14.155	0	0	0	0	0	0
0	0	42.815	16.895	0	0	0	0	0	0
0	0	43.186	33.368	0	0	0	0	0	0
0	0	43.504	6.391	0	0	0	0	0	0
0	0	43.814	19.544	0	0	0	0	0	0
0	0	44.504	12.858	0	0	0	0	0	0
0	0	44.914	6.645	0	0	0	0	0	0
0	0	45.179	7.288	0	0	0	0	0	0
