,M10,M12,M14,M15,M16,M17,M18,M19,M2,M20,M21,M23,M24,M25,M26,M27,M28,M29,M3,M30,M31,M33,M35,M36,M37,M38,M39,M4,M40,M41,M43,M44,M45,M46,M47,M48,M5,M6,M7,M8,M9,P10,P12,P14,P15,P16,P17,P18,P19,P2,P20,P21,P23,P24,P25,P26,P27,P28,P29,P3,P30,P31,P33,P35,P36,P37,P38,P39,P4,P40,P41,P43,P44,P45,P46,P47,P48,P5,P6,P7,P8,P9
21.34820513,0,0,0,4459317.068,0,0,1136245.785,0,6405509.35,0,2443254.616,0,0,1915351.302,8715481.463,11437987.94,23982358.5,72630729.53,2545263.997,0,0,0,0,0,19572103.86,3046824.072,0,3465150.032,20684232.05,21767470.26,2711676.865,2260050.889,0,0,0,8078070.356,5680607.127,0,0,0,7858669.598,0,0,0,4070866.419,0,0,0,0,1893193.227,0,0,0,0,0,4458660.083,7537959.421,11736610.22,32256151.75,1981295.291,7999495.437,0,0,0,0,22688191.49,0,0,1948888.887,10582447.75,7676918.839,4708804.533,2773216.323,0,0,2060470.013,14034114.01,6972020.089,0,2847322.855,0,5052733.787
21.405,0,0,0,3838688.335,0,0,0,0,7361946.105,0,0,4943056.333,0,0,9587363.862,11764528.79,26641040.86,76429910.57,2021405.354,0,1544084.008,0,0,0,20816884.45,0,0,2980507.226,23929905.92,21753457.83,0,1796199.381,21740967.05,24969649.31,0,6976810.975,5582044.781,0,0,0,7209666.655,0,0,0,3650008.24,0,0,0,1528363.016,2032288.095,0,0,0,0,0,4235739.382,7201802.061,11373126.54,36863040.9,0,0,0,0,0,0,24741759.29,0,0,1612785.625,12993134.24,8242754.054,5439349.611,3667418.59,158932111.7,35655906.12,1724752.467,12751149.03,6392092.54,0,0,0,4905467.196
21.49942857,0,0,0,0,2862343.919,0,0,13905509.36,4276948.719,0,0,25717099.86,14749754.68,0,0,3356828.188,3714515.63,10294297.31,0,0,0,0,2321686.851,0,3778375.548,0,1784321.604,0,2463031.13,5968021.94,0,0,5353066.033,17192078.42,0,3010246.004,2148145.083,8844329.892,0,0,8395274.85,0,0,0,6546091.039,0,0,1419464.946,0,0,0,21508513.18,19435590.14,2648035.432,0,0,4686759.822,0,5823210.352,6347160.056,0,0,8887836.448,0,0,2515682.046,0,0,0,0,0,0,0,0,28121928.02,6780078.835,4434967.875,1283026.188,0,0,2043019.703,6870735.727
21.52666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7165743.117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2607934.175,0,0,0,0,1366333.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21.57529412,2820731.598,0,1076926.9,0,4615769.377,1552078.755,1127235.275,18032222.18,0,1490839.096,2053872.791,0,14158847.18,2017817.393,0,1717432.801,3844684.97,12109238.89,0,3590948.985,0,17322787.46,2289604.006,18699438.58,2938482.351,5581028.928,5703405.246,0,2539794.293,3599593.577,0,0,16099726.79,0,0,1268423.672,0,1714677.331,2016349.436,1802938.919,0,0,3980360.681,0,0,30361128.08,2300528.124,1869757.301,6381013.686,0,856628.371,3632584.221,0,0,0,0,1958969.192,5441629.746,0,0,10635803.69,2828125.925,23245224.2,2597911.206,3357649.483,3454143.849,3870824.062,29903265.85,0,1318502.806,2923129.551,0,0,50733330.95,0,0,2639913.399,0,1083260.848,957159.494,0,1295765.908
21.82333333,0,0,0,0,0,0,0,2933144.323,1915502.257,0,0,3525083.087,0,0,0,0,0,0,0,0,0,1782453.396,0,4921432.75,0,0,0,0,0,0,0,0,0,4916573.284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6377135.162,0,0,0,0,0,2601941.279,0,0,0,3346472.652,0,0,0,0,8092168.231,0,0,0,0,0,5682668.496,9802905.372,0,0,0,0,0,0,0
21.90571429,0,0,0,0,0,0,0,0,0,0,0,1603239.213,0,0,0,0,0,0,0,0,0,0,0,1863751.704,0,0,0,0,0,0,0,0,0,2499179.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3244403.381,0,0,0,0,0,961713.527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7743836.994,3464722.821,0,0,0,0,0,0,0
22.11166667,0,0,0,0,0,0,0,3580532.223,0,0,0,0,0,0,0,0,0,5614050.862,0,0,0,0,0,6945349.315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3369723.122,0,0,0,0,8957816.601,0,0,0,0,0,0,11984796.3,0,0,0,0,0,0,0
22.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9972938.458,0,0,0,0,20090747.3,0,0,0,0,44805165.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4763602.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6670791.86,4822591.47,0,0,0,0,0,0,0
22.262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2679838.893,0,0,0,0,3384212.342,0,0,0,0,3445996.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2390984.571,2895984.099,0,0,0,0,0,0,0
